" der Gebrauch, -¨e",use
"das Eis, -X","ice, ice cream"
"das Hackfleisch, -X",piece of meat for slicing
"das Müsli, -","grain cereal, cereal grains"
"das Ungeheuer, -","monster, monstrosities"
"das Abitur, -e",school exam
"das Alter, -",age
"das Amt, -¨er","office, bureau"
"das Angebot, -e","bid, offer"
"das Aquarium, -en",aquarium
"das Asyl, -e",asylum
"das Auge, -n",eye
"das Ausland, x",overseas
"das Aussehen, -X",appearance
"das Autohaus, -¨er",car dealership
"das Bargeld, -er",cash money
"das Beet, -e","bed, patch (of flowers, etc.)"
"das Bein, -e",leg
"das Bekenntnis, -X",confession
"das Bekleidungsgeschäft, -e",clothing store
"das Besteck, -e","cutlery, flatware, silverware"
"das Bier, -e",beer
"das Bild, -er",photo
"das Blatt, -¨er","leaf, leaves"
"das Blut, -X",blood
"das Blütenblatt, -¨er",flower petal
"das Bonbon, -s","candy, treat"
"das Brett, -er",cutting board
"das Brät, -X",meat
das Brötchen,small bread roll
"das Bund, -",a bundle
"das Bußgeld, -er","fine, penalty"
"das Bügeleisen,",noun
"das Chaos, -",chaos. Disorder
"das Croissant, -s",croissant
"das Datum, -en",date
"das Denken, -","thought, thoughts"
"das Dirndl, -",bavarian traditional women´s dress
"das Doppelbett, -en",double bed
"das Doppelzimmer, -",double room
"das Dorf, -¨er",village
"das Dreieck, -e",triangle
"das Dunkel, x",darkness
"das Einzelzimmer, -",one bedroom hotel
"das Elektrogeschäft, -er",electronics store
"das Erdbeben, -X",earthquake
"das Etui, -s",small case - i.e. Glasses case
"das Fahrzeug, -e",vehicle
"das Fasten, -X",a fast
"das Feld, -er",field
"das Fenster, -s",window
"das Fernweh, -",wander lust
"das Festgewand, -¨er",festive garment
"das Fett, -e",fat
"das Fieber, -",fever
"das Formular, -e",form
"das Fresko, -en",fresco
"das Fundament, -e",foundation
"das Gammelfleisch, -X","rotten meat, roadkill"
"das Garagentor, -e",garage door
das Gebirge (pl),"the mountains, mountain range"
"das Gebot, -e","command, commandments"
"das Gefieder , -","feathers, plumage"
"das Geflügel, -X",poultry
"das Gefolge, -",entourage
"das Gefühl, -e","a feeling, feelings"
"das Gegenteil, -e",opposite
"das Geheimnis, -es",mystery
"das Gelächter, -X",laughter
"das Gemüse, -",vegetables
"das Gepäck, -, die Gepäckstücke, -n",hand luggage
"das Gericht, -e","meal, court of justice"
"das Geschenk, -e",gift
"das Geschirr, -",dishes
"das Geschrei, x",clamour
"das Gesetz, -e","law, statute"
"das Gesicht, -er",face
"das Gesäß, -e","bottom, seat, posterior"
"das Getreide, -n","grain, cereals"
"das Getöse, x",roar
"das Getümmel, x",ruckus
"das Gewicht, -X",weight
"das Glas, -¨er",glass
"das Glück, -",luck
"das Gold, -",gold
"das Grundstück, -e","piece of land, real estate, lot"
"das Haar, -e",hair
"das Hammerwerfen, -X",hammer throwing
"das Handgelenk, -e",wrist
"das Handgepäck, -e",hand luggage
"das Heimweh, -X",homesickness
"das Hemd, -en",shirt
"das Hochhaus, -¨er",apartment building
"das Holz, -¨er",wood
"das Hähnchen, -",chicken
"das Hörnchen, -",croissant
"das Ideal, -e","ideal, ideals"
"das Idol, -e",idol
"das Interesse, -n",interest
das Interrogativpronomen,interrogative pronoun
"das Jahr, -e",year
"das Joch, -e",yoke
"das Kalb, -¨er",calf
"das Kalbsflesich, -X",calf meat
"das Kaninchen, -","rabbit, small domesticated"
"das Kapitel, -",chapter
"das Kaufhaus, -¨er",department store
"das Kilo, -s",kilo
"das Kinn, -e",chin
"das Kissen, -","cushion, pillow"
"das Klavier, -e",piano
"das Kleingeld, -er",small change
"das Knie, -e",knee
"das Koffein, -x",caffeine
"das Konzert, -e",concert
"das Kotelett, -e",cutlet
"das Kraut, -¨er",plant
"das Kugelstoßen, -",shot put (sport)
"das Känguru, -s",kangaroo
"das Kännchen, -","pot, kettle"
"das Lammfleisch, -",lamb meat
"das Land, -¨er","land, country, nation"
"das Leben, -",life
"das Lied, -er",song
"das Lied, -er","song, songs"
"das Lob, -e",praise
"das Maul, -¨er","mouth, jaws (for animal)"
"das Medikament, -e",medication
"das Meer, -e",sea
"das Messer, -",knife
"das Metermaß, -e","ruler, measuring tape"
"das Mikrofon, -e",microphone
"das Missverständnis, -se",misunderstanding
"das Mitleid, x",compassion
"das Mäppchen, -",small pencil case
"das Möbelhaus, -¨er",furniture store
"das Nasenloch, -¨er",nostrils
"das Nest, -er",nest
"das Netz, -e","net, the internet"
"das Obst, -",fruit
"das Ohr, -en",ear
"das Paar, -e",a pair of something
"das Paket, -e",parcel (in the mail)
"das Paradie s, -e",paradise
"das Pech, -e",pitch
"das Pflaster, -","plaster, poultice"
"das Pfund, -e","500 grams, .5 Kilo"
"das Picknick, -e",picnic
"das Plätzchen, -",biscuit
das Polen,poland
"das Püree, -s","puree, i.e. Kartoffelpüree - mashed potatoes"
"das Quadrat, -e",square
"das Rankengewächs, -e",creeping plant
"das Rechteck, -e",rectangle
"das Regal, -e",bookshelves
"das Reihenhaus, -¨er","terraced house, row house"
"das Reisebüro, -s",travel agent
"das Restaurant, -s",restaurant
"das Rezept, -e",prescription
"das Rhabarber, -",rhubarb
"das Rindfleisch, -e",beef
"das Rohr, -e","pipe - water pipe, etc."
"das Rätsel, -n","riddle, puzzle"
"das Salz, -",salt
"das Scheitern, x",collapse
"das Schifferklavier, -e",accordion
"das Schloss, -¨er","lock, castle"
"das Schmuckgeschäft, -e",jewelry store
"das Schnitzel, -",pork cutlett
"das Schreibwarengeschäft, -e",stationery store
"das Schwein, -e","pig, hog"
"das Schweinefleisch, -X",pork meat
"das Schwimmbad, -¨er",swimming pool
"das Seil, -e","rope, line, climbing line"
"das Sekretariat, -e",office
"das Shampoo, -s",shampoo
"das Silber, x",silver
"das Sofa, -s","sofa, couch"
"das Sonderangebot, -e",special offer
"das Speerwerfen, -X",spear throwing
"das Spiegelei, -er",fried egg
"das Spielzeug, -e",playtoy
"das Ständchen, -",seranade
"das Stück, -e",piece
"das Talent, -e","talent, capacity, bib. - measure of weight"
"das Telefon, -e",telephone
"das Teppichgeschäft, -e",carpet store
"das Thema, -en","theme, topic"
"das Thermometer, -",thermometer
"das Ticket, -s",ticket
"das Tor, -e","door, sport - goal"
"das Treffe, -n",meeting
"das Triebwerk, -e","engine, power plant"
"das Trinkgeld, -er",a tip
"das Tuch, -¨er","cloth, kerchief"
"das Turnen, -X",gymnastics
"das Turnier, -e","tournament, show"
"das Ufer, -","bank of river, shoreline"
"das Unkraut, -¨er",weed
"das Unrecht, x",injustice
"das Verbrechen, -",crime
"das Vergehen, -",offense
"das Verhältnis, -X","relationship, affair"
"das Verkehrsmittel, -",transportation
"das Verschwinden, -",disappearance
"das Vertrauen, -",trust
"das Video, -s",video
"das Vieh,",cattle
"das Viertel, -",quarter
"das Volk, ¨er","people, nation"
"das Vortschritt, -e",progress
"das Wachstum, x",growth
"das Wasser, -",water
"das Wechselgeld, -er",change
"das Werkzeug, -e",work tools
"das Wesen, -","being, nature"
"das Wissen, -X",knowledge
"das Wunder , -","wonder , marvel"
"das Wurzelverzeichnis, -e",root directory
"das Zentrum, -en",center
"das Zimmer, -",room
"das Zollkontrolle, -n",customs in airport
"das Öl, -e",oil
der ABA,answering machine
"der Abflug, -¨e",departure
"der Abriss, -e",demolition
"der Abschied, -e","goodbye, farewell"
"der Abstand, -¨e",distance
"der Acker, -¨",field
"der Affe, -n",monkey
"der Aktenkoffer, -",attache case
"der Aktenordner, -","file, file cabinet, etc."
"der Allgemeinarzt, -¨e",general practice doctor
"der Anblick, -e","sight, a look"
"der Anfang, -¨e",the beginning
"der Angriff, -","attack, raid"
"der Anlass, -¨e","motive, cause"
"der Anruf, -e",phone call
"der Anschluss, -e","connection, (water) supply"
"der Anspruch, -¨e",claim (ins.)
"der Anwohner, die Anwohnerin",resident
"der Anästhesist, -, Anäthesistin, -nen",anathesiologist
"der Apfel, -¨",apple
"der Apparat, -e","apparatus, Gadget, Machine"
"der Arm, -e",arm
"der Ast, -¨e",branch of a tree
"der Asylant, -en",asylum seeker
"der Ausflug, -¨e","outing, field trip"
"der Auswander er, -",emigrant
"der Ausweis, -e",ID
"der Badeanzug, -e, die Badehose, -n",bathing suit
"der Bahnhof, -¨e",train station
"der Balkon, -e",balcony
"der Ball, -¨e",ball
"der Barren, -",the parallel bars
"der Bart, -¨e",beard
"der Bastler, -, die Bastlerin, -nen","craftsman, do it yourselfer"
"der Bauch, -¨e",stomach
"der Baum, -¨e",tree
"der Becher, -","beaker, plastic cup"
"der Beginn, -","beginning, start"
"der Beruf, -e","occupation, career"
"der Besitz, x","resources, assets"
"der Beweis, -e",proof
"der Bezwinger, -",conqueror
"der Blitz, -e","lightning, flash"
"der Blumenkohl, -",cauliflower
"der Blumenladen, -¨",flower shop
"der Blumenstrauß, -¨e",bunch of flowers
"der Boden, -¨","ground, dirt"
"der Brei, -e","mash, puree"
"der Briefkasten, -¨",mailbox
"der Bruder , -n",brother
"der Buckel, -",hunchback
"der Buddhismus, x",buddhism
"der Bush, -¨e",bush (strauch)
"der Chef, -s",boss
"der Chinese, -n",chinese (people)
"der Chirurg, -en",surgeon
"der Christ, -en",Christian
"der Computer, -",computer
"der Dachboden, -",attic
"der Dampf, -¨e","steam, vapor"
"der Detektiv, -e, die Detektei",detective
"der Dieb, -e",thief
"der Dirigent, -en, die Dirigentin, -nen",conductor
"der Dirigentenstab, -",conductors baton
"der Dom, -e",cathedral
"der Dorn, -en",thorn
"der Drache, -n",dragon
"der Drachen, -","a kite, a glider"
"der Dualismus, -",dualism
"der Dung, -x","dung, manure"
"der Dünger, -",fertilizer
"der Düsenantrieb, -X",jet propulsion
"der Düsenjäger, -",fighter jet
"der Edelstein, -e",precious stone
"der Einkaufszettel, -",shopping list
"der Einwander er, -",immigrant
"der Eiskunstlauf, -x",figure skating
"der Ellbogen, -",elbow
der Eltern (pl),parents
"der Esel, -",donkey
"der Faden, -¨",thread
"der Fahrradabstellplatz, -¨e",bicycle parking place
"der Fallschirm, -e",parachute
"der Familienstand, x",family status
"der Fehler, -",mistake
"der Feind, -e",enemy
"der Feldrand, -¨er",edge of a field
"der Finger, -",finger
"der Fingerabdruck, -¨n",fingerprint
"der Fingerhut, -¨e",thimble
"der Fingernagel, -¨",fingernail
"der Fisch, -",fish
"der Flaschenöffner, -",bottle opener
"der Fleck, -en",spot
"der Flug, -¨e",flight
"der Flugbegleiter, -,die Flugbegleiterin",airline stewardess
"der Flughafen, -¨",airport
"der Flur, -e",hallway in a house
"der Fluss, -¨e",river
"der Freimut, x",frankness
"der Frevel, -","iniquity, outrage"
"der Frühaufsteher, -in","early riser, hard working person"
"der Fuchs, -¨e",fox
"der Fuß, -¨e",foot
"der Fußgänger, -",pedestrian
"der Fön, -e",hairdryer
"der Führerschein, -e",driver´s license
"der Fürst, -, die Fürstin, -nen","prince, princess"
"der Gammel, -X",rubbish
"der Gang, -¨e","walkway, corridor"
"der Garten, -s",garden
"der Gast, -¨e",guest
"der Geburtstag, -e",birthday
"der Gehsteig, -e",sidewalk
"der Geruch, -¨e","smell, odor"
"der Geschäftsführer, -,Geschäftsführerin, -nen",store manager
"der Gestank, -X",stench
"der Getränkemarkt, -¨e","party store, beer - wine store"
"der Gott, -¨er","God, gods"
"der Grund, -¨e","the reason, the matter"
"der Grundsatz, -¨e",principle
"der Gürtel, -",belt
"der Haarschnitt, die Frisur",haircut
"der Hacken, -",hooks
"der Hafen, -¨",harbor
"der Hafer, -",oat
"der Hals, -¨e",neck
"der Halz-Nasen-Ohrenartz, -¨","ear, nose and throat doctor"
"der Hammer, -¨",hammer
"der Hase, -n","hare, undomesticated rabbit"
"der Hass, -X","hate, hatred"
"der Haushalt, -e",household
"der Heilend, -e",savior
"der Heilige, -",saint
"der Held, -en, die Heldin, -nen","hero, heroin"
"der Herd, -e","whole stove, oven and top"
"der Himmel, -",heaven
"der Hinduismus, x",hinduism
"der Hochzeitstage, -n",wedding day
"der Hof, -¨e","yard, courtyard"
"der Honig, -",honey
"der Horizont, -e",horizon
"der Huf, -e",hoof
"der Husten, -X",cough
"der Hustensaft, -¨e",cough syrup
"der Hüter, die Hüterin",custodian
"der Internist, -",internalist
"der Internspeicher, -X",computer memory
"der Kachelboden, -",tile floor
"der Kalender , -",calender
"der Kamm, -¨e",comb
"der Kasperl, -n",puppet
"der Kassenzettel, -",receipt
"der Kater, -",tomcat
"der Keks, -e",cookies
"der Kellner, -, die Kellnerin - nen","waiter, waitress"
"der Klee, -",clover
"der Kleiderbügel, -",coat hanger
"der Klub, -s","club, civic group"
"der Knoblauch, -",garlic
"der Knöchel, -",ankle
"der Koffer, -",suitcase
"der Kohl, -e",cabbage
"der Kontrast, -e",contrast
"der Kontrolleur, -",inspector
"der Kopf, -¨e",head
"der Kopfsalat, -e",head lettuce
"der Korb, -¨e",basket
"der Korken, -",cork
"der Korkenzieher, -",corkscrew
"der Krankenpfleger, -e","nurse, male or female"
"der Kratzer, -",scratch
"der Kreis, -e",circle
"der Kuchen, -",cake
"der Kugelschreiber, -",ink pen
"der Kunde, -n, die Kundin, -nen",customer
der Kundenservice,customer service department
"der Kuss, -¨e",kiss
"der Käfig, -",birdcage
"der Käse, -n",cheese
"der Körper, -",body
"der Kühlschrank, -¨e",refrigerator
"der Kürbis, -es",pumpkins
"der Laden, -¨",shop
"der Langschläfer, -in","late sleeper, lazy person"
"der Laptop, -s",laptop computer
"der Lauch, -e",leek
"der Leerlauf, x",idle
"der Legastheniker, -, die Legasthenikerin, -nen",dyslexic
"der Leiter, -",leader
"der Liebling, -s",loved one
"der Lockenwickler, -X",hair curlers
"der Lärm, -X",noise
"der Löffel, -",spoon
"der Löwe, -n",lion
"der Mais, -X",corn
"der Maiskolben, -X",corncob
"der Maurer, -",bricklayer
"der Mediabericht, -e",media report
"der Meeresblick, -e",seaside view
"der Mensch, -en",humans
"der Mond, -e",the moon
"der Mord, -er",murder
"der Morgenmantel, -",housecoat
"der Mulleimer, -",trash bin
"der Mund, ¨-er",mouth
"der Musiker, -, die Musikerin, -nen",musician
"der Muskel, -n",muscle
"der Mut, -X","courage, pluck"
"der Nabel, -",navel
"der Nachbar, -, die Nachbarin, -nen",neighbor
"der Nachteil, -e",disadvantage
"der Name, -n",name
"der Nebel, -","fog, mist"
"der Nord, Süd, Ost, West","North, South, East and West"
"der Notausgang, -¨e",emergency exit
"der Nu, -X",no time
"der Nudelsalat, -e",pasta salad
"der Oberkörper, -",upper body
"der Oberschenkel, -",thigh
"der Ochse, -n",ox
"der Ofen, -¨",oven
"der Ort, -¨er",place
"der Orthopäde, -n",orthopedist
"der Pantoffelheld, -en","hen pecked husband, i.e. Slipper bound"
"der Papagei, -en",parrot
"der Paprika, -X",bell peppers
"der Park, -s",park
"der Partner, -, die Partnerin, -nen",partner
"der Pass, -¨e",passport
"der Pfeffer, -",pepper
"der Pfirsich, -e",peach
"der Pilz, -e",mushroom
"der Pinsel, -",brush
"der Plünderer, -","raider, plunderer"
"der Psychiater, -",psychiatrist
"der Pullover, -s",a sweater
"der Quark, -",sour cream
"der Rabe, -n",raven
"der Rahmen, -",frame
"der Rand, -¨er",edge
"der Rat, -X",advice
"der Raum, -¨e","space, room"
"der Rechtsstreit, -e",legal dispute
"der Regenschirm, -e",umbrella
"der Respekt, -X",respect
"der Rest, -e",the rest
"der Retter, die Retterin","rescuer, savior"
"der Rettich, -e",radish
"der Rhythmus, -",rhythm
"der Riese, -n",giant
"der Ring, -e",ring
"der Ritter, -",knight
"der Rock, -¨e",skirt
"der Roller, -",scooter
"der Ruhm, x",glory
"der Rumpf, -¨e","body core, trunk"
"der Rücken, -","the back, spine"
"der Sack, -¨e",sack
"der Saft, -¨e",juice
"der Salat, -e",lettuce
"der Sand, -e",sand
"der Sandstrand, -¨e",sandy beach
"der Schal, -e","scarf, shawl"
"der Schalter, -","counter, switch"
"der Schatz, -¨e","treasure, sweetheart"
"der Schein, -e","paper money, bill"
"der Schimpf, -","insult, affront"
"der Schinken, -",ham
"der Schirm, -e","shield, screen"
"der Schlitten, -","sled, sledge"
"der Schlitz, -e","slot, slit"
"der Schluck, -e","of liquid, a drink, a swallow, a drop"
"der Schlüssel, -",key
"der Schmeichler, -",flatterer
"der Schmerz, -en",pain
"der Schmetterling, -e",butterfly
"der Schmuck, -e",jewelry
"der Schnabel, -¨",beak
"der Schnupften, -",a cold
"der Schrank, -¨e","cupboard, wardrobe"
"der Schrei, -e",scream
"der Schwager, die Schwägerin","brother in law, sister in law"
"der Schwan, -¨e",swan
"der Schwerpunkt, -e",center of gravity
"der Schäferhund, -e",german shepherd
"der Schönheitschirurg, -en",plastic surgeon
